武器ID,武器名称,触发配件,动作,目标槽位
mini-14,Mini-14射手步枪,Mini-14聚合物枪托,add,右导轨
mk47,MK47突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
mk47,MK47突击步枪,M157火控光学系统,add,遮光罩
mk47,MK47突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
mk47,MK47突击步枪,3/7可调倍率狙击镜,add,遮光罩
mk47,MK47突击步枪,3/7可调倍率狙击镜,add,上副瞄具
mk47,MK47突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
mk47,MK47突击步枪,MEO微型瞄具增高架,add,瞄准镜
mk47,MK47突击步枪,多用途战术增高架,add,战术设备
mk47,MK47突击步枪,多用途战术增高架,add,增高座瞄具
mk47,MK47突击步枪,微型瞄具增高架,add,增高座瞄具
mk47,MK47突击步枪,MK47鏖战枪管,disable,上贴片
mk47,MK47突击步枪,模块化AR后握把,add,后握贴片
mk47,MK47突击步枪,AR重塔握把,add,握把座
mk4,MK4冲锋枪,灵眼3/7弹道计算狙击镜,add,遮光罩
mk4,MK4冲锋枪,M157火控光学系统,add,遮光罩
mk4,MK4冲锋枪,LPVO多倍率战斗瞄具,add,遮光罩
mk4,MK4冲锋枪,3/7可调倍率狙击镜,add,遮光罩
mk4,MK4冲锋枪,3/7可调倍率狙击镜,add,上副瞄具
mk4,MK4冲锋枪,侦察1.5/5可调瞄准镜,add,遮光罩
mk4,MK4冲锋枪,MEO微型瞄具增高架,add,瞄准镜
mk4,MK4冲锋枪,多用途战术增高架,add,战术设备
mk4,MK4冲锋枪,多用途战术增高架,add,增高座瞄具
mk4,MK4冲锋枪,微型瞄具增高架,add,增高座瞄具
mk4,MK4冲锋枪,MK4深空镀铬枪管,add,左贴片
mk4,MK4冲锋枪,MK4深空镀铬枪管,add,右贴片
mk4,MK4冲锋枪,MK4击剑手枪管,add,右贴片
mk4,MK4冲锋枪,MK4击剑手枪管,add,上贴片
mk4,MK4冲锋枪,MK4击剑手枪管,add,左贴片
mk4,MK4冲锋枪,M16A4稳定枪托,add,托腮板
mk4,MK4冲锋枪,模块化AR后握把,add,后握贴片
mk4,MK4冲锋枪,AR重塔握把,add,握把座
mk4,MK4冲锋枪,MK4深空镀铬枪管,add,前握把
mk4,MK4冲锋枪,MK4击剑手枪管,add,前握把
mp5,MP5冲锋枪,灵眼3/7弹道计算狙击镜,add,遮光罩
mp5,MP5冲锋枪,M157火控光学系统,add,遮光罩
mp5,MP5冲锋枪,LPVO多倍率战斗瞄具,add,遮光罩
mp5,MP5冲锋枪,3/7可调倍率狙击镜,add,遮光罩
mp5,MP5冲锋枪,3/7可调倍率狙击镜,add,上副瞄具
mp5,MP5冲锋枪,侦察1.5/5可调瞄准镜,add,遮光罩
mp5,MP5冲锋枪,MEO微型瞄具增高架,add,瞄准镜
mp5,MP5冲锋枪,多用途战术增高架,add,战术设备
mp5,MP5冲锋枪,多用途战术增高架,add,增高座瞄具
mp5,MP5冲锋枪,微型瞄具增高架,add,增高座瞄具
mp5,MP5冲锋枪,MP5SD特勤一体消音枪管,disable,枪口
mp5,MP5冲锋枪,MP5SD特勤一体消音枪管,add,右导轨
mp5,MP5冲锋枪,MP5斥候长枪管组合,add,左导轨
mp5,MP5冲锋枪,MP5斥候长枪管组合,add,右导轨
mp5,MP5冲锋枪,MP5隐蔽短枪管组合,disable,枪口
mp5,MP5冲锋枪,MP5隐蔽短枪管组合,add,上导轨
mp5,MP5冲锋枪,MP5隐蔽短枪管组合,add,左导轨
mp5,MP5冲锋枪,MP5隐蔽短枪管组合,add,右导轨
mp5,MP5冲锋枪,MP5战术枪管组合,add,左导轨
mp5,MP5冲锋枪,MP5战术枪管组合,add,右导轨
mp5,MP5冲锋枪,MP5性能枪管组合,disable,前握把
mp5,MP5冲锋枪,MP5性能枪管组合,add,右导轨
mp5,MP5冲锋枪,MP5性能枪管组合,add,左导轨
mp5,MP5冲锋枪,MP5 50发弹鼓,disable,弹匣座
mp5,MP5冲锋枪,MP5斥候长枪管组合,add,前握把
mp5,MP5冲锋枪,MP5隐蔽短枪管组合,add,前握把
mp5,MP5冲锋枪,MP5战术枪管组合,add,前握把
mp5,MP5冲锋枪,MP5斥候长枪管组合,add,枪口
mp5,MP5冲锋枪,MP5性能枪管组合,add,枪口
mp5,MP5冲锋枪,MP5战术枪管组合,add,枪口
mp7,MP7冲锋枪,灵眼3/7弹道计算狙击镜,add,遮光罩
mp7,MP7冲锋枪,M157火控光学系统,add,遮光罩
mp7,MP7冲锋枪,LPVO多倍率战斗瞄具,add,遮光罩
mp7,MP7冲锋枪,3/7可调倍率狙击镜,add,遮光罩
mp7,MP7冲锋枪,3/7可调倍率狙击镜,add,上副瞄具
mp7,MP7冲锋枪,侦察1.5/5可调瞄准镜,add,遮光罩
mp7,MP7冲锋枪,MEO微型瞄具增高架,add,瞄准镜
mp7,MP7冲锋枪,多用途战术增高架,add,战术设备
mp7,MP7冲锋枪,多用途战术增高架,add,增高座瞄具
mp7,MP7冲锋枪,微型瞄具增高架,add,增高座瞄具
mp7,MP7冲锋枪,HVK格斗套件,add,上导轨
mp7,MP7冲锋枪,HVK格斗套件,add,瞄准镜
mp7,MP7冲锋枪,MP7蜂刺长枪管组合,add,左贴片
mp7,MP7冲锋枪,MP7蜂刺长枪管组合,add,右贴片
mp7,MP7冲锋枪,MP7蜂刺长枪管组合,add,导轨脚架
mp7,MP7冲锋枪,MP7增强枪管组合,add,右贴片
mp7,MP7冲锋枪,MP7增强枪管组合,add,左贴片
mp7,MP7冲锋枪,MP7增强枪管组合,add,导轨脚架
mp7,MP7冲锋枪,眼6/12弹道计算狙击镜,add,遮光罩
mp7,MP7冲锋枪,6/12神射手变倍狙击镜,add,遮光罩
mp7,MP7冲锋枪,6/12神射手变倍狙击镜,add,上副瞄具
mp7,MP7冲锋枪,光学狙击8倍瞄准镜,add,遮光罩
mp7,MP7冲锋枪,HVK格斗套件,disable,前握把
mp7,MP7冲锋枪,HVK格斗套件,add,枪口
mp7,MP7冲锋枪,HVK格斗套件,disable,后握把
mp7,MP7冲锋枪,HVK格斗套件,disable,弹匣
mp7,MP7冲锋枪,HVK格斗套件,disable,侧瞄具
p90,P90冲锋枪,灵眼3/7弹道计算狙击镜,add,遮光罩
p90,P90冲锋枪,M157火控光学系统,add,遮光罩
p90,P90冲锋枪,LPVO多倍率战斗瞄具,add,遮光罩
p90,P90冲锋枪,3/7可调倍率狙击镜,add,遮光罩
p90,P90冲锋枪,3/7可调倍率狙击镜,add,上副瞄具
p90,P90冲锋枪,侦察1.5/5可调瞄准镜,add,遮光罩
p90,P90冲锋枪,MEO微型瞄具增高架,add,瞄准镜
p90,P90冲锋枪,多用途战术增高架,add,战术设备
p90,P90冲锋枪,多用途战术增高架,add,增高座瞄具
p90,P90冲锋枪,微型瞄具增高架,add,增高座瞄具
p90,P90冲锋枪,P90长弓精钢枪管,disable,侧瞄具
p90,P90冲锋枪,P90长弓精钢枪管,disable,前握把
p90,P90冲锋枪,P90长弓精钢枪管,add,左导轨
p90,P90冲锋枪,P90长弓精钢枪管,add,上导轨
p90,P90冲锋枪,P90重攻长枪管,add,左导轨
p90,P90冲锋枪,P90长弓精钢枪管,add,枪口
p90,P90冲锋枪,P90猎豹重枪管,add,枪口
p90,P90冲锋枪,P90重攻长枪管,add,枪口
p90,P90冲锋枪,P90重攻长枪管,add,前握把
pkm,PKM通用机枪,灵眼3/7弹道计算狙击镜,add,遮光罩
pkm,PKM通用机枪,M157火控光学系统,add,遮光罩
pkm,PKM通用机枪,LPVO多倍率战斗瞄具,add,遮光罩
pkm,PKM通用机枪,3/7可调倍率狙击镜,add,遮光罩
pkm,PKM通用机枪,3/7可调倍率狙击镜,add,上副瞄具
pkm,PKM通用机枪,侦察1.5/5可调瞄准镜,add,遮光罩
pkm,PKM通用机枪,MEO微型瞄具增高架,add,瞄准镜
pkm,PKM通用机枪,多用途战术增高架,add,战术设备
pkm,PKM通用机枪,多用途战术增高架,add,增高座瞄具
pkm,PKM通用机枪,微型瞄具增高架,add,增高座瞄具
pkm,PKM通用机枪,PKM地平线重枪管,add,前握把
pkm,PKM通用机枪,PKM地平线重枪管,add,上导轨
pkm,PKM通用机枪,PKM地平线重枪管,add,左导轨
pkm,PKM通用机枪,PKM地平线重枪管,add,右导轨
pkm,PKM通用机枪,PKM壕战短枪管,disable,导轨脚架
pkm,PKM通用机枪,PKM壕战短枪管,add,上导轨
pkm,PKM通用机枪,PKM壕战短枪管,add,左导轨
pkm,PKM通用机枪,PKM壕战短枪管,add,前握把
pkm,PKM通用机枪,PKM壕战短枪管,add,右导轨
pkm,PKM通用机枪,AK重塔握把,add,握把座
psg-1,PSG-1射手步枪,灵眼6/12弹道计算狙击镜,add,遮光罩
psg-1,PSG-1射手步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
psg-1,PSG-1射手步枪,M157火控光学系统,add,遮光罩
psg-1,PSG-1射手步枪,6/12神射手变倍狙击镜,add,遮光罩
psg-1,PSG-1射手步枪,6/12神射手变倍狙击镜,add,上副瞄具
psg-1,PSG-1射手步枪,LPVO多倍率战斗瞄具,add,遮光罩
psg-1,PSG-1射手步枪,3/7可调倍率狙击镜,add,遮光罩
psg-1,PSG-1射手步枪,3/7可调倍率狙击镜,add,上副瞄具
psg-1,PSG-1射手步枪,光学狙击8倍瞄准镜,add,遮光罩
psg-1,PSG-1射手步枪,侦察1.5/5可调瞄准镜,add,遮光罩
psg-1,PSG-1射手步枪,MEO微型瞄具增高架,add,瞄准镜
psg-1,PSG-1射手步枪,多用途战术增高架,add,战术设备
psg-1,PSG-1射手步枪,多用途战术增高架,add,增高座瞄具
psg-1,PSG-1射手步枪,微型瞄具增高架,add,增高座瞄具
psg-1,PSG-1射手步枪,M3狙击镜,add,遮光罩
psg-1,PSG-1射手步枪,G3平台神射枪管组合,add,上导轨
psg-1,PSG-1射手步枪,G3平台神射枪管组合,add,左贴片
psg-1,PSG-1射手步枪,G3平台神射枪管组合,add,左导轨
psg-1,PSG-1射手步枪,G3平台神射枪管组合,add,右贴片
psg-1,PSG-1射手步枪,G3加强长枪管组合,add,左贴片
psg-1,PSG-1射手步枪,G3加强长枪管组合,add,右贴片
psg-1,PSG-1射手步枪,G3加强长枪管组合,add,左导轨
psg-1,PSG-1射手步枪,G3飓风短枪管组合,disable,导轨脚架
psg-1,PSG-1射手步枪,G3飓风短枪管组合,add,左贴片
psg-1,PSG-1射手步枪,G3飓风短枪管组合,add,右贴片
psg-1,PSG-1射手步枪,G3飓风短枪管组合,add,左导轨
psg-1,PSG-1射手步枪,G3守卫标准枪管组合,add,左贴片
psg-1,PSG-1射手步枪,G3守卫标准枪管组合,add,右贴片
psg-1,PSG-1射手步枪,G3守卫标准枪管组合,add,左导轨
psg-1,PSG-1射手步枪,G3平台神射枪管组合,add,枪口
psg-1,PSG-1射手步枪,G3守卫标准枪管组合,add,枪口
psg-1,PSG-1射手步枪,G3飓风短枪管组合,add,枪口
psg-1,PSG-1射手步枪,G3加强长枪管组合,add,枪口
ptr-32,PTR-32突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
ptr-32,PTR-32突击步枪,M157火控光学系统,add,遮光罩
ptr-32,PTR-32突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
ptr-32,PTR-32突击步枪,3/7可调倍率狙击镜,add,遮光罩
ptr-32,PTR-32突击步枪,3/7可调倍率狙击镜,add,上副瞄具
ptr-32,PTR-32突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
ptr-32,PTR-32突击步枪,MEO微型瞄具增高架,add,瞄准镜
ptr-32,PTR-32突击步枪,多用途战术增高架,add,战术设备
ptr-32,PTR-32突击步枪,多用途战术增高架,add,增高座瞄具
ptr-32,PTR-32突击步枪,微型瞄具增高架,add,增高座瞄具
ptr-32,PTR-32突击步枪,G3平台神射枪管组合,add,上导轨
ptr-32,PTR-32突击步枪,G3平台神射枪管组合,add,左导轨
ptr-32,PTR-32突击步枪,G3平台神射枪管组合,add,导轨脚架
ptr-32,PTR-32突击步枪,G3平台神射枪管组合,add,左贴片
ptr-32,PTR-32突击步枪,G3平台神射枪管组合,add,右贴片
ptr-32,PTR-32突击步枪,G3加强长枪管组合,add,左导轨
ptr-32,PTR-32突击步枪,G3加强长枪管组合,add,左贴片
ptr-32,PTR-32突击步枪,G3加强长枪管组合,add,导轨脚架
ptr-32,PTR-32突击步枪,G3加强长枪管组合,add,右贴片
ptr-32,PTR-32突击步枪,G3飓风短枪管组合,add,右贴片
ptr-32,PTR-32突击步枪,G3飓风短枪管组合,add,左贴片
ptr-32,PTR-32突击步枪,G3飓风短枪管组合,add,左导轨
ptr-32,PTR-32突击步枪,G3守卫标准枪管组合,add,左导轨
ptr-32,PTR-32突击步枪,G3守卫标准枪管组合,add,左贴片
ptr-32,PTR-32突击步枪,G3守卫标准枪管组合,add,导轨脚架
ptr-32,PTR-32突击步枪,G3守卫标准枪管组合,add,右贴片
ptr-32,PTR-32突击步枪,G3平台神射枪管组合,add,枪口
ptr-32,PTR-32突击步枪,G3守卫标准枪管组合,add,枪口
ptr-32,PTR-32突击步枪,G3飓风短枪管组合,add,枪口
ptr-32,PTR-32突击步枪,G3加强长枪管组合,add,枪口
qbz95-1,QBZ95-1突击步枪,95长弓平台套件,add,瞄准镜
qbz95-1,QBZ95-1突击步枪,95长弓平台套件,add,上导轨
qbz95-1,QBZ95-1突击步枪,95长弓平台套件,add,左导轨
qbz95-1,QBZ95-1突击步枪,95长弓平台套件,add,右导轨
qbz95-1,QBZ95-1突击步枪,95长弓平台套件,add,侧瞄具
qbz95-1,QBZ95-1突击步枪,QBZ95-1长弓枪管组合,add,左贴片
qbz95-1,QBZ95-1突击步枪,QBZ95-1长弓枪管组合,add,右贴片
qbz95-1,QBZ95-1突击步枪,QBZ95-1长弓枪管组合,add,导轨脚架
qbz95-1,QBZ95-1突击步枪,QBZ95战术枪管,add,右贴片
qbz95-1,QBZ95-1突击步枪,QBZ95战术枪管,add,左贴片
qbz95-1,QBZ95-1突击步枪,QBZ95战术枪管,add,导轨脚架
qbz95-1,QBZ95-1突击步枪,5.8新式60发弹鼓,disable,弹匣座
qbz95-1,QBZ95-1突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
qbz95-1,QBZ95-1突击步枪,M157火控光学系统,add,遮光罩
qbz95-1,QBZ95-1突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
qbz95-1,QBZ95-1突击步枪,3/7可调倍率狙击镜,add,遮光罩
qbz95-1,QBZ95-1突击步枪,3/7可调倍率狙击镜,add,上副瞄具
qbz95-1,QBZ95-1突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
qbz95-1,QBZ95-1突击步枪,MEO微型瞄具增高架,add,瞄准镜
qbz95-1,QBZ95-1突击步枪,多用途战术增高架,add,战术设备
qbz95-1,QBZ95-1突击步枪,多用途战术增高架,add,增高座瞄具
qbz95-1,QBZ95-1突击步枪,微型瞄具增高架,add,增高座瞄具
qbz95-1,QBZ95-1突击步枪,QBZ95-1长弓枪管组合,add,枪口
qbz95-1,QBZ95-1突击步枪,QBZ95战术枪管,add,枪口
qbz95-1,QBZ95-1突击步枪,QBZ95-1实用短枪管,add,枪口
qcq171,QCQ171冲锋枪,灵眼3/7弹道计算狙击镜,add,遮光罩
qcq171,QCQ171冲锋枪,M157火控光学系统,add,遮光罩
qcq171,QCQ171冲锋枪,LPVO多倍率战斗瞄具,add,遮光罩
qcq171,QCQ171冲锋枪,3/7可调倍率狙击镜,add,遮光罩
qcq171,QCQ171冲锋枪,3/7可调倍率狙击镜,add,上副瞄具
qcq171,QCQ171冲锋枪,侦察1.5/5可调瞄准镜,add,遮光罩
qcq171,QCQ171冲锋枪,MEO微型瞄具增高架,add,瞄准镜
qcq171,QCQ171冲锋枪,多用途战术增高架,add,战术设备
qcq171,QCQ171冲锋枪,多用途战术增高架,add,增高座瞄具
qcq171,QCQ171冲锋枪,微型瞄具增高架,add,增高座瞄具
qcq171,QCQ171冲锋枪,QCQ171新式渗透一体消音枪管,add,左贴片
qcq171,QCQ171冲锋枪,QCQ171新式渗透一体消音枪管,add,上贴片
qcq171,QCQ171冲锋枪,QCQ171新式渗透一体消音枪管,add,导轨脚架
qcq171,QCQ171冲锋枪,QCQ171新式渗透一体消音枪管,add,右贴片
qcq171,QCQ171冲锋枪,QCQ171新式红缨战术长枪管,add,左贴片
qcq171,QCQ171冲锋枪,QCQ171新式红缨战术长枪管,add,上贴片
qcq171,QCQ171冲锋枪,QCQ171新式红缨战术长枪管,add,导轨脚架
qcq171,QCQ171冲锋枪,QCQ171新式红缨战术长枪管,add,右贴片
qcq171,QCQ171冲锋枪,QCQ171新式狡兔短枪管组合,disable,上导轨
qcq171,QCQ171冲锋枪,QCQ171新式狡兔短枪管组合,disable,前握把
qcq171,QCQ171冲锋枪,新式75发扩容弹鼓,disable,弹匣座
qcq171,QCQ171冲锋枪,QCQ171新式渗透一体消音枪管,disable,枪口
qcq171,QCQ171冲锋枪,QCQ171新式渗透一体消音枪管,add,前握把
qcq171,QCQ171冲锋枪,QCQ171新式红缨战术长枪管,add,前握把
qjb201,QJB201轻机枪,QJB201新式重锤战术枪管,add,左贴片
qjb201,QJB201轻机枪,QJB201新式重锤战术枪管,add,上导轨
qjb201,QJB201轻机枪,QJB201新式重锤战术枪管,add,上贴片
qjb201,QJB201轻机枪,QJB201新式重锤战术枪管,add,右贴片
qjb201,QJB201轻机枪,QJB201新式獠牙短枪管,disable,导轨脚架
qjb201,QJB201轻机枪,QJB201新式獠牙短枪管,add,上贴片
qjb201,QJB201轻机枪,QJB201新式獠牙短枪管,add,左贴片
qjb201,QJB201轻机枪,QJB201新式獠牙短枪管,add,上导轨
qjb201,QJB201轻机枪,QJB201新式獠牙短枪管,add,右贴片
qjb201,QJB201轻机枪,侦察1.5/5可调瞄准镜,add,遮光罩
qjb201,QJB201轻机枪,MEO微型瞄具增高架,add,瞄准镜
qjb201,QJB201轻机枪,微型瞄具增高架,add,增高座瞄具
r93,R93狙击步枪,灵眼6/12弹道计算狙击镜,add,遮光罩
r93,R93狙击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
r93,R93狙击步枪,M157火控光学系统,add,遮光罩
r93,R93狙击步枪,6/12神射手变倍狙击镜,add,遮光罩
r93,R93狙击步枪,6/12神射手变倍狙击镜,add,上副瞄具
r93,R93狙击步枪,LPVO多倍率战斗瞄具,add,遮光罩
r93,R93狙击步枪,3/7可调倍率狙击镜,add,遮光罩
r93,R93狙击步枪,3/7可调倍率狙击镜,add,上副瞄具
r93,R93狙击步枪,光学狙击8倍瞄准镜,add,遮光罩
r93,R93狙击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
r93,R93狙击步枪,MEO微型瞄具增高架,add,瞄准镜
r93,R93狙击步枪,多用途战术增高架,add,战术设备
r93,R93狙击步枪,多用途战术增高架,add,增高座瞄具
r93,R93狙击步枪,微型瞄具增高架,add,增高座瞄具
r93,R93狙击步枪,M3狙击镜,add,遮光罩
r93,R93狙击步枪,R93裂变长枪管,add,右导轨
r93,R93狙击步枪,R93裂变长枪管,add,上导轨
r93,R93狙击步枪,R93裂变长枪管,add,左导轨
r93,R93狙击步枪,R93裂变长枪管,add,上贴片
rm277,RM277突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
rm277,RM277突击步枪,M157火控光学系统,add,遮光罩
rm277,RM277突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
rm277,RM277突击步枪,3/7可调倍率狙击镜,add,遮光罩
rm277,RM277突击步枪,3/7可调倍率狙击镜,add,上副瞄具
rm277,RM277突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
rm277,RM277突击步枪,MEO微型瞄具增高架,add,瞄准镜
rm277,RM277突击步枪,多用途战术增高架,add,战术设备
rm277,RM277突击步枪,多用途战术增高架,add,增高座瞄具
rm277,RM277突击步枪,微型瞄具增高架,add,增高座瞄具
rm277,RM277突击步枪,RM277鲸鲨枪管组合,add,上导轨
rm277,RM277突击步枪,RM277重型一体枪管,disable,枪口
rm277,RM277突击步枪,RM277重型一体枪管,disable,导轨脚架
rm277,RM277突击步枪,RM277重型一体枪管,add,上导轨
rm277,RM277突击步枪,模块化AR后握把,add,后握贴片
rm277,RM277突击步枪,AR重塔握把,add,握把座
s12k,S12K霰弹枪,灵眼3/7弹道计算狙击镜,add,遮光罩
s12k,S12K霰弹枪,M157火控光学系统,add,遮光罩
s12k,S12K霰弹枪,LPVO多倍率战斗瞄具,add,遮光罩
s12k,S12K霰弹枪,3/7可调倍率狙击镜,add,遮光罩
s12k,S12K霰弹枪,3/7可调倍率狙击镜,add,上副瞄具
s12k,S12K霰弹枪,侦察1.5/5可调瞄准镜,add,遮光罩
s12k,S12K霰弹枪,MEO微型瞄具增高架,add,瞄准镜
s12k,S12K霰弹枪,多用途战术增高架,add,战术设备
s12k,S12K霰弹枪,多用途战术增高架,add,增高座瞄具
s12k,S12K霰弹枪,微型瞄具增高架,add,增高座瞄具
s12k,S12K霰弹枪,S12K破阵长枪管组合,add,左导轨
s12k,S12K霰弹枪,S12K破阵长枪管组合,add,左贴片
s12k,S12K霰弹枪,S12K破阵长枪管组合,add,导轨脚架
s12k,S12K霰弹枪,S12K破阵长枪管组合,add,右贴片
s12k,S12K霰弹枪,S12K防御者短枪管组合,add,左导轨
s12k,S12K霰弹枪,S12K实用长枪管组合,add,上导轨
s12k,S12K霰弹枪,S12K实用长枪管组合,add,左导轨
s12k,S12K霰弹枪,S12K实用长枪管组合,add,导轨脚架
s12k,S12K霰弹枪,S12K实用长枪管组合,add,右贴片
s12k,S12K霰弹枪,S12K实用长枪管组合,add,左贴片
s12k,S12K霰弹枪,S12K实用短枪管组合,add,左贴片
s12k,S12K霰弹枪,S12K实用短枪管组合,add,上导轨
s12k,S12K霰弹枪,S12K实用短枪管组合,add,左导轨
s12k,S12K霰弹枪,S12K实用短枪管组合,add,右贴片
s12k,S12K霰弹枪,锚点导轨后托,disable,枪托垫
s12k,S12K霰弹枪,QR高性能后托,disable,枪托垫
s12k,S12K霰弹枪,CT增强型后托,disable,枪托垫
s12k,S12K霰弹枪,影袭托芯枪托,disable,枪托垫
s12k,S12K霰弹枪,MRGS镂空枪托,disable,枪托垫
s12k,S12K霰弹枪,PT3死士枪托,disable,枪托垫
s12k,S12K霰弹枪,PT1特种枪托,disable,枪托垫
s12k,S12K霰弹枪,UR特种战术枪托,disable,枪托垫
s12k,S12K霰弹枪,影袭导轨枪托,disable,枪托垫
s12k,S12K霰弹枪,骨架狙击枪托,disable,枪托垫
s12k,S12K霰弹枪,AK19枪托,disable,枪托垫
s12k,S12K霰弹枪,枢机先进战斗枪托,disable,枪托垫
s12k,S12K霰弹枪,S12K撞火枪托,disable,枪托垫
s12k,S12K霰弹枪,416稳固枪托,disable,枪托垫
s12k,S12K霰弹枪,416轻型枪托,disable,枪托垫
s12k,S12K霰弹枪,精英轻型枪托,disable,枪托垫
s12k,S12K霰弹枪,侵掠核心枪托,disable,枪托垫
s12k,S12K霰弹枪,枢机稳固枪托,disable,枪托垫
s12k,S12K霰弹枪,闪电导轨枪托,disable,枪托垫
s12k,S12K霰弹枪,AK枪托尾盖,disable,枪托垫
s12k,S12K霰弹枪,AK骨架枪托,disable,枪托垫
s12k,S12K霰弹枪,实用轻型枪托,disable,枪托垫
s12k,S12K霰弹枪,实用战术枪托,disable,枪托垫
s12k,S12K霰弹枪,实用稳定枪托,disable,枪托垫
s12k,S12K霰弹枪,核心导轨枪托,disable,枪托垫
s12k,S12K霰弹枪,AK重塔握把,add,握把座
s12k,S12K霰弹枪,S12K撞火枪托,disable,后握把
scar-h,SCAR-H战斗步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
scar-h,SCAR-H战斗步枪,M157火控光学系统,add,遮光罩
scar-h,SCAR-H战斗步枪,LPVO多倍率战斗瞄具,add,遮光罩
scar-h,SCAR-H战斗步枪,3/7可调倍率狙击镜,add,遮光罩
scar-h,SCAR-H战斗步枪,3/7可调倍率狙击镜,add,上副瞄具
scar-h,SCAR-H战斗步枪,侦察1.5/5可调瞄准镜,add,遮光罩
scar-h,SCAR-H战斗步枪,MEO微型瞄具增高架,add,瞄准镜
scar-h,SCAR-H战斗步枪,多用途战术增高架,add,战术设备
scar-h,SCAR-H战斗步枪,多用途战术增高架,add,增高座瞄具
scar-h,SCAR-H战斗步枪,微型瞄具增高架,add,增高座瞄具
scar-h,SCAR-H战斗步枪,SCARH海狸长枪管,add,上贴片
scar-h,SCAR-H战斗步枪,SCARH海狸长枪管,add,左贴片
scar-h,SCAR-H战斗步枪,SCARH海狸长枪管,add,导轨脚架
scar-h,SCAR-H战斗步枪,SCARH海狸长枪管,add,右贴片
scar-h,SCAR-H战斗步枪,模块化AR后握把,add,后握贴片
scar-h,SCAR-H战斗步枪,AR重塔握把,add,握把座
scar-h,SCAR-H战斗步枪,SCARH 50发弹鼓,disable,弹匣座
sg552,SG552突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
sg552,SG552突击步枪,M157火控光学系统,add,遮光罩
sg552,SG552突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
sg552,SG552突击步枪,3/7可调倍率狙击镜,add,遮光罩
sg552,SG552突击步枪,3/7可调倍率狙击镜,add,上副瞄具
sg552,SG552突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
sg552,SG552突击步枪,MEO微型瞄具增高架,add,瞄准镜
sg552,SG552突击步枪,多用途战术增高架,add,战术设备
sg552,SG552突击步枪,多用途战术增高架,add,增高座瞄具
sg552,SG552突击步枪,微型瞄具增高架,add,增高座瞄具
sg552,SG552突击步枪,SG552猎犬轻型枪管,add,左导轨
sg552,SG552突击步枪,SG552猎犬轻型枪管,add,上导轨
sg552,SG552突击步枪,SG552骑士重枪管,add,上导轨
sg552,SG552突击步枪,SG552骑士重枪管,add,左导轨
sg552,SG552突击步枪,SG552骑士重枪管,add,导轨脚架
sg552,SG552突击步枪,SG552骑士重枪管,add,上贴片
sg552,SG552突击步枪,SG552骑士重枪管,add,左贴片
sg552,SG552突击步枪,SG552骑士重枪管,add,右贴片
sg552,SG552突击步枪,模块化AR后握把,add,后握贴片
sg552,SG552突击步枪,AR重塔握把,add,握把座
sks,SKS射手步枪,SKS先进护木,add,后握把
sks,SKS射手步枪,SKS先进护木,add,枪托
sks,SKS射手步枪,SKS先进护木,add,弹匣
sks,SKS射手步枪,SKS先进护木,add,前握把
sks,SKS射手步枪,SKS先进护木,add,导轨脚架
sks,SKS射手步枪,SKS先进护木,add,上导轨
sks,SKS射手步枪,SKS先进护木,add,左导轨
sks,SKS射手步枪,SKS先进护木,add,右导轨
sks,SKS射手步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
sks,SKS射手步枪,M157火控光学系统,add,遮光罩
sks,SKS射手步枪,LPVO多倍率战斗瞄具,add,遮光罩
sks,SKS射手步枪,3/7可调倍率狙击镜,add,遮光罩
sks,SKS射手步枪,3/7可调倍率狙击镜,add,上副瞄具
sks,SKS射手步枪,侦察1.5/5可调瞄准镜,add,遮光罩
sks,SKS射手步枪,MEO微型瞄具增高架,add,瞄准镜
sks,SKS射手步枪,多用途战术增高架,add,战术设备
sks,SKS射手步枪,多用途战术增高架,add,增高座瞄具
sks,SKS射手步枪,微型瞄具增高架,add,增高座瞄具
sks,SKS射手步枪,AK重塔握把,add,握把座
smg-45,SMG-45冲锋枪,灵眼3/7弹道计算狙击镜,add,遮光罩
smg-45,SMG-45冲锋枪,M157火控光学系统,add,遮光罩
smg-45,SMG-45冲锋枪,LPVO多倍率战斗瞄具,add,遮光罩
smg-45,SMG-45冲锋枪,3/7可调倍率狙击镜,add,遮光罩
